22:19:27.828 INFO  [main                                ] 51 main - 
*****************************************
*    Welcome to Kuta Cluster Gateway    *
*****************************************
*       Bind Http To:0.0.0.0:8081       *
*****************************************

22:19:28.445 INFO  [KSF-akka.actor.default-dispatcher-4 ] 104 applyOrElse - Slf4jLogger started
22:19:28.951 INFO  [KSF-akka.actor.default-dispatcher-4 ] 95 $anonfun$applyOrElse$3 - Remoting started with transport [Artery tcp]; listening on address [akka://KSF@192.168.2.100:2552] with UID [-4120471424840559470]
22:19:28.969 INFO  [KSF-akka.actor.default-dispatcher-4 ] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - Starting up, Akka version [2.6.4] ...
22:19:29.016 INFO  [KSF-akka.actor.default-dispatcher-4 ] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - Registered cluster JMX MBean [akka:type=Cluster]
22:19:29.016 INFO  [KSF-akka.actor.default-dispatcher-4 ] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - Started up successfully
22:19:29.039 INFO  [KSF-akka.actor.default-dispatcher-13] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - No downing-provider-class configured, manual cluster downing required, see https://doc.akka.io/docs/akka/current/typed/cluster.html#downing
22:19:29.050 INFO  [KSF-akka.actor.default-dispatcher-13] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - Node [akka://KSF@192.168.2.100:2552] is JOINING itself (with roles [gateway, dc-default]) and forming new cluster
22:19:29.064 INFO  [KSF-akka.actor.default-dispatcher-13] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - is the new leader among reachable nodes (more leaders may exist)
22:19:29.074 INFO  [KSF-akka.actor.default-dispatcher-13] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - Leader is moving node [akka://KSF@192.168.2.100:2552] to [Up]
22:19:29.304 INFO  [KSF-akka.actor.default-dispatcher-18] 95 $anonfun$applyOrElse$3 - 网关已经启动...
22:19:29.314 INFO  [KSF-akka.actor.default-dispatcher-20] 95 $anonfun$applyOrElse$3 - Member is Up: Member(address = akka://KSF@192.168.2.100:2552, status = Up)
22:19:30.303 INFO  [main                                ] 249 useHttps - 1
22:19:30.308 INFO  [main                                ] 251 useHttps - alg:RSA,format:PKCS#8
22:19:30.321 INFO  [main                                ] 86 main - 启动ssl服务.host:0.0.0.0,port:4435
22:20:23.809 INFO  [KSF-akka.actor.default-dispatcher-21] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - Received InitJoin message from [Actor[akka://KSF@192.168.2.100:2555/system/cluster/core/daemon/joinSeedNodeProcess-1#-1469211470]] to [akka://KSF@192.168.2.100:2552]
22:20:23.810 INFO  [KSF-akka.actor.default-dispatcher-21] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - Sending InitJoinAck message from node [akka://KSF@192.168.2.100:2552] to [Actor[akka://KSF@192.168.2.100:2555/system/cluster/core/daemon/joinSeedNodeProcess-1#-1469211470]] (version [2.6.4])
22:20:23.910 INFO  [KSF-akka.actor.default-dispatcher-21] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - Node [akka://KSF@192.168.2.100:2555] is JOINING, roles [game, dc-default]
22:20:24.862 INFO  [KSF-akka.actor.default-dispatcher-21] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - Leader is moving node [akka://KSF@192.168.2.100:2555] to [Up]
22:20:24.863 INFO  [KSF-akka.actor.default-dispatcher-21] 95 $anonfun$applyOrElse$3 - Member is Up: Member(address = akka://KSF@192.168.2.100:2555, status = Up)
22:23:51.560 WARN  [KSF-akka.actor.default-dispatcher-31] 89 $anonfun$applyOrElse$2 - [outbound connection to [akka://KSF@192.168.2.100:2555], control stream] Upstream failed, cause: StreamTcpException: The connection closed with error: 远程主机强迫关闭了一个现有的连接。
22:23:51.561 WARN  [KSF-akka.actor.default-dispatcher-31] 89 $anonfun$applyOrElse$2 - [outbound connection to [akka://KSF@192.168.2.100:2555], message stream] Upstream failed, cause: StreamTcpException: The connection closed with error: 远程主机强迫关闭了一个现有的连接。
